checkpoint,task,source,pre_acc,pre_acc_std,pre_auc,rand_acc,rand_auc,delta_pp,delta_auc
clean-s89-30k,left_right,encoder_mean,0.631111111111111,0.06899633198337789,0.6640743616287095,0.5111111111111111,0.5220626293995859,11.99999999999999,0.14201173222912356
clean-s89-30k,left_right,predictor_mean,0.5777777777777777,0.05305482838361478,0.6217654024719242,0.6,0.6320609040717737,-2.2222222222222254,-0.010295501599849488
clean-s89-30k,left_right,both_mean,0.6399999999999999,0.05946261404559845,0.6845575318401405,0.6033333333333332,0.6341265920070268,3.6666666666666736,0.05043093983311364
clean-s89-30k,rest_vs_activity,encoder_mean,0.6711111111111111,0.09456854591534762,0.7479259259259259,0.5677777777777777,0.6067654320987653,10.33333333333334,0.14116049382716056
clean-s89-30k,rest_vs_activity,predictor_mean,0.6744444444444444,0.09415642356613504,0.7497777777777779,0.6188888888888888,0.678641975308642,5.555555555555558,0.07113580246913587
clean-s89-30k,rest_vs_activity,both_mean,0.6722222222222222,0.0911178859269818,0.7500740740740742,0.6394444444444444,0.6921728395061729,3.2777777777777795,0.057901234567901305
clean-s89-30k-s43,left_right,encoder_mean,0.6233333333333333,0.08984898166464014,0.677311939268461,0.5111111111111111,0.5220626293995859,11.222222222222221,0.15524930986887508
clean-s89-30k-s43,left_right,predictor_mean,0.6088888888888888,0.06899633198337787,0.6375768555116381,0.6,0.6320609040717737,0.8888888888888835,0.005515951439864386
clean-s89-30k-s43,left_right,both_mean,0.6377777777777778,0.08723460633951342,0.6884904950122341,0.6033333333333332,0.6341265920070268,3.444444444444461,0.054363903005207326
clean-s89-30k-s43,rest_vs_activity,encoder_mean,0.6861111111111111,0.09059985283284591,0.7497777777777779,0.5677777777777777,0.6067654320987653,11.83333333333334,0.14301234567901255
clean-s89-30k-s43,rest_vs_activity,predictor_mean,0.6833333333333333,0.0787635937708768,0.743679012345679,0.6188888888888888,0.678641975308642,6.444444444444453,0.065037037037037
clean-s89-30k-s43,rest_vs_activity,both_mean,0.6849999999999998,0.08869945091483145,0.7494074074074075,0.6394444444444444,0.6921728395061729,4.5555555555555465,0.0572345679012346
clean-s89-30k-s44,left_right,encoder_mean,0.6355555555555555,0.07214525813665745,0.6991894880481836,0.5111111111111111,0.5220626293995859,12.444444444444446,0.17712685864859767
clean-s89-30k-s44,left_right,predictor_mean,0.6066666666666666,0.07922463764433728,0.648688750862664,0.6,0.6320609040717737,0.6666666666666599,0.016627846790890244
clean-s89-30k-s44,left_right,both_mean,0.6488888888888888,0.07685162873684703,0.7004791705878664,0.6033333333333332,0.6341265920070268,4.555555555555568,0.06635257858083954
clean-s89-30k-s44,rest_vs_activity,encoder_mean,0.6777777777777777,0.09395296958493203,0.747432098765432,0.5677777777777777,0.6067654320987653,10.999999999999998,0.14066666666666672
clean-s89-30k-s44,rest_vs_activity,predictor_mean,0.6844444444444443,0.08807964970047295,0.7481481481481481,0.6188888888888888,0.678641975308642,6.555555555555548,0.06950617283950611
clean-s89-30k-s44,rest_vs_activity,both_mean,0.6772222222222222,0.09489923180685324,0.7501234567901236,0.6394444444444444,0.6921728395061729,3.77777777777778,0.05795061728395068
clean-large-89-30k,left_right,encoder_mean,0.6588888888888887,0.08263410350290246,0.7012394911851434,0.5111111111111111,0.5220626293995859,14.777777777777768,0.17917686178555747
clean-large-89-30k,left_right,predictor_mean,0.6300000000000001,0.09382805392687041,0.6642704216073781,0.6,0.6320609040717737,3.0000000000000138,0.032209517535604415
clean-large-89-30k,left_right,both_mean,0.6477777777777777,0.08263410350290244,0.7072824518476694,0.6033333333333332,0.6341265920070268,4.444444444444451,0.07315585984064255
clean-large-89-30k,rest_vs_activity,encoder_mean,0.6933333333333334,0.0988451838501521,0.771604938271605,0.5677777777777777,0.6067654320987653,12.555555555555564,0.1648395061728397
clean-large-89-30k,rest_vs_activity,predictor_mean,0.6855555555555555,0.09591019462027364,0.7718271604938272,0.6188888888888888,0.678641975308642,6.666666666666665,0.09318518518518515
clean-large-89-30k,rest_vs_activity,both_mean,0.6955555555555555,0.10222222222222223,0.773925925925926,0.6394444444444444,0.6921728395061729,5.611111111111111,0.0817530864197531
clean-large-89-30k-s43,left_right,encoder_mean,0.6488888888888888,0.08508528764034066,0.695898033126294,0.5111111111111111,0.5220626293995859,13.777777777777779,0.17383540372670803
clean-large-89-30k-s43,left_right,predictor_mean,0.6133333333333333,0.08788319970348973,0.6534890833803877,0.6,0.6320609040717737,1.3333333333333308,0.02142817930861396
clean-large-89-30k-s43,left_right,both_mean,0.6422222222222221,0.07790465841314713,0.6992643829600351,0.6033333333333332,0.6341265920070268,3.8888888888888973,0.06513779095300831
clean-large-89-30k-s43,rest_vs_activity,encoder_mean,0.7022222222222221,0.08244713981817399,0.7722469135802469,0.5677777777777777,0.6067654320987653,13.444444444444436,0.16548148148148156
clean-large-89-30k-s43,rest_vs_activity,predictor_mean,0.7011111111111111,0.10499265112436897,0.7698765432098765,0.6188888888888888,0.678641975308642,8.22222222222223,0.09123456790123452
clean-large-89-30k-s43,rest_vs_activity,both_mean,0.6988888888888888,0.09128033066018165,0.7731604938271606,0.6394444444444444,0.6921728395061729,5.944444444444441,0.08098765432098765
clean-large-89-30k-s44,left_right,encoder_mean,0.6411111111111111,0.07479189234465075,0.6834482244808331,0.5111111111111111,0.5220626293995859,13.0,0.16138559508124717
clean-large-89-30k-s44,left_right,predictor_mean,0.6088888888888887,0.08675209464863613,0.6515425999121651,0.6,0.6320609040717737,0.8888888888888724,0.01948169584039139
clean-large-89-30k-s44,left_right,both_mean,0.6344444444444444,0.07452731705659556,0.6886049940397766,0.6033333333333332,0.6341265920070268,3.11111111111112,0.054478402032749784
clean-large-89-30k-s44,rest_vs_activity,encoder_mean,0.6794444444444444,0.08779008352560155,0.7482716049382715,0.5677777777777777,0.6067654320987653,11.16666666666667,0.14150617283950617
clean-large-89-30k-s44,rest_vs_activity,predictor_mean,0.6833333333333333,0.09292901844491741,0.7551358024691357,0.6188888888888888,0.678641975308642,6.444444444444453,0.07649382716049369
clean-large-89-30k-s44,rest_vs_activity,both_mean,0.6794444444444444,0.09833647201519415,0.7488888888888888,0.6394444444444444,0.6921728395061729,4.0000000000000036,0.056716049382715905
clean-large-89-30k-m256,left_right,encoder_mean,0.5666666666666667,0.07079792143143997,0.600103519668737,0.5111111111111111,0.5220626293995859,5.555555555555558,0.07804089026915106
clean-large-89-30k-m256,left_right,predictor_mean,0.5211111111111111,0.08387969044492118,0.5211395790200137,0.6,0.6320609040717737,-7.888888888888889,-0.11092132505176
clean-large-89-30k-m256,left_right,both_mean,0.5744444444444444,0.07278413882294364,0.6095618451596713,0.6033333333333332,0.6341265920070268,-2.888888888888874,-0.024564746847355545
clean-large-89-30k-m256,rest_vs_activity,encoder_mean,0.6872222222222222,0.0929804838144563,0.7528148148148147,0.5677777777777777,0.6067654320987653,11.944444444444446,0.1460493827160494
clean-large-89-30k-m256,rest_vs_activity,predictor_mean,0.691111111111111,0.10016036524210613,0.7560246913580247,0.6188888888888888,0.678641975308642,7.222222222222219,0.07738271604938274
clean-large-89-30k-m256,rest_vs_activity,both_mean,0.6827777777777777,0.09145429945545966,0.7535308641975309,0.6394444444444444,0.6921728395061729,4.333333333333334,0.06135802469135798
